Paired evolution matrix comparison
Baseline: candidate-civ61-breaks-v1-20260822 (6 runs)
Candidate: candidate-project-reopen-memory-v3-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 5/5.33; C 7/7; paired Δ med/mean +2/+1.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 1128/1115; C 650/880; paired Δ med/mean -774/-235 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 1/2.67; paired Δ med/mean +1/+2.67 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 1116/829.33; C 623/852.67; paired Δ med/mean -493/+23.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 308/285.67; C 27/27.33; paired Δ med/mean -281/-258.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 3219/2606.67; C 3434/3111.67; paired Δ med/mean +493/+505 (3 pairs)
  actionPersonMonths: B med/mean 1474/1245; C 1766/1624; paired Δ med/mean +292/+379 (3 pairs)
  projectActionPersonMonths: B med/mean 304/268; C 274/308.33; paired Δ med/mean +64/+40.33 (3 pairs)
  projectActionMonthShare: B med/mean 20.62/20.54; C 20.71/19.28; paired Δ med/mean -3.13/-1.25 (3 pairs)
  ruleDecisions: B med/mean 3657/3236; C 3386/3838.67; paired Δ med/mean +914/+602.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 41.15/47.1; C 26.12/38.34; paired Δ med/mean -13.97/-8.76 (3 pairs)
  strategicIntents: B med/mean 1448/1411; C 1128/1308.33; paired Δ med/mean -571/-102.67 (3 pairs)
  socialIntents: B med/mean 2164/1791; C 2481/2500.33; paired Δ med/mean +317/+709.33 (3 pairs)
  communications: B med/mean 766/726; C 908/914; paired Δ med/mean +142/+188 (3 pairs)
  survivalReflexActions: B med/mean 1110/1236.67; C 1195/1462.33; paired Δ med/mean +282/+225.67 (3 pairs)
  projectsStarted: B med/mean 109/106.33; C 80/97.67; paired Δ med/mean -14/-8.67 (3 pairs)
  projectsCompleted: B med/mean 29/37.33; C 41/44; paired Δ med/mean +9/+6.67 (3 pairs)
  projectsBlocked: B med/mean 77/65.67; C 58/52.67; paired Δ med/mean -18/-13 (3 pairs)
  projectPressureBasisProjects: B med/mean 109/106.33; C 80/97.67; paired Δ med/mean -14/-8.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 1172/1150; C 1178/1412.67; paired Δ med/mean +301/+262.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 100/90.67; C 69/86; paired Δ med/mean -11/-4.67 (3 pairs)
  projectPressureUpdates: B med/mean 1063/1043.67; C 1098/1315; paired Δ med/mean +315/+271.33 (3 pairs)
  projectPressureIncreases: B med/mean 163/148.67; C 216/243.67; paired Δ med/mean +65/+95 (3 pairs)
  projectPressureDecreases: B med/mean 211/195.67; C 288/319.67; paired Δ med/mean +100/+124 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 689/699.33; C 594/751.67; paired Δ med/mean -47/+52.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 34/24.33; C 24/24.67; paired Δ med/mean -8/+0.33 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/1.33; C 0/0; paired Δ med/mean 0/-1.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 3/4; C 12/10.33; paired Δ med/mean +6/+6.33 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 4/3; C 25/32.33; paired Δ med/mean +21/+29.33 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  projectProgressEvidenceCount: B med/mean 1495/1587; C 1313/1563.67; paired Δ med/mean -182/-23.33 (3 pairs)
  projectProgressProjects: B med/mean 103/101.67; C 67/91; paired Δ med/mean -11/-10.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 1085/1165; C 825/1002.67; paired Δ med/mean -298/-162.33 (3 pairs)
  projectMaterialContributionProgress: B med/mean 410/422; C 526/561; paired Δ med/mean +135/+139 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 63/55.33; C 36/37.33; paired Δ med/mean -23/-18 (3 pairs)
  projectSearchCampaigns: B med/mean 55/52.67; C 30/39; paired Δ med/mean -11/-13.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 55/51; C 27/31.33; paired Δ med/mean -17/-19.67 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 47/45; C 17/21; paired Δ med/mean -30/-24 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 3/3.67; paired Δ med/mean +3/+3.33 (3 pairs)
  searchCampaignClosed: B med/mean 8/7; C 10/14.33; paired Δ med/mean +5/+7.33 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 142/140.33; C 60/76.67; paired Δ med/mean -95/-63.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 6/6; C 5/4.67; paired Δ med/mean -1/-1.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 335/337.33; C 311/347; paired Δ med/mean -24/+9.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 295/296.33; C 295/321; paired Δ med/mean 0/+24.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 33/36; C 18/18.33; paired Δ med/mean -25/-17.67 (3 pairs)
  projectSearchEpisodes: B med/mean 142/140.33; C 60/76.67; paired Δ med/mean -95/-63.67 (3 pairs)
  projectDropEpisodes: B med/mean 161/168.33; C 219/229.33; paired Δ med/mean +61/+61 (3 pairs)
  projectLogisticsActionEvents: B med/mean 1260/1350; C 1037/1259.33; paired Δ med/mean -223/-90.67 (3 pairs)
  jointProjectsCompleted: B med/mean 10/7.33; C 6/10; paired Δ med/mean +6/+2.67 (3 pairs)
  productionProjectsCompleted: B med/mean 12/17.33; C 20/23.33; paired Δ med/mean +8/+6 (3 pairs)
  constructionProjectsCompleted: B med/mean 17/20; C 21/20.67; paired Δ med/mean -4/+0.67 (3 pairs)
  totalStructures: B med/mean 10/11.67; C 15/14; paired Δ med/mean +2/+2.33 (3 pairs)
  completedStructures: B med/mean 4/4.67; C 5/4.67; paired Δ med/mean +1/0 (3 pairs)
  constructionPlacements: B med/mean 23/28.67; C 31/32.67; paired Δ med/mean +4/+4 (3 pairs)
  containersBuilt: B med/mean 3/3; C 3/3.33; paired Δ med/mean 0/+0.33 (3 pairs)
  standingContainers: B med/mean 3/3; C 3/3.33; paired Δ med/mean 0/+0.33 (3 pairs)
  containerTransfers: B med/mean 35/33.33; C 55/62; paired Δ med/mean +31/+28.67 (3 pairs)
  storedUnits: B med/mean 51/53.33; C 76/59.33; paired Δ med/mean +12/+6 (3 pairs)
  movementActions: B med/mean 5058/4159.67; C 5485/5441; paired Δ med/mean +1417/+1281.33 (3 pairs)
  movementActionShare: B med/mean 59.93/60.81; C 60.24/62.08; paired Δ med/mean +0.31/+1.27 (3 pairs)
  spearsCrafted: B med/mean 0/0.33; C 3/2.67; paired Δ med/mean +3/+2.33 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 2/2; C 1/1; paired Δ med/mean 0/-1 (3 pairs)
  recordsCreated: B med/mean 1/1; C 4/6.67; paired Δ med/mean +4/+5.67 (3 pairs)
  functionalInstitutions: B med/mean 8/7; C 11/10.33; paired Δ med/mean +4/+3.33 (3 pairs)
  animalsHunted: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/6; C 0/0; paired Δ med/mean 0/-6 (3 pairs)
  predictionAccuracy: B med/mean 42.37/40.83; C 26.67/20.13; paired Δ med/mean -9.69/-20.7 (3 pairs)
  dehydrationHibernations: B med/mean 51/45; C 70/60; paired Δ med/mean +19/+15 (3 pairs)
  assistedDependentHibernations: B med/mean 7/5; C 10/7; paired Δ med/mean +2/+2 (3 pairs)
  throughMonth: B med/mean 360/360; C 360/360; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 6/6; C 7/7.67; paired Δ med/mean +1/+1.67 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 7/12; C 4/11; paired Δ med/mean 0/-1 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 182/191; C 242/260; paired Δ med/mean +69/+69 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 164/170; C 230/240; paired Δ med/mean +68/+70 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 161/168.33; C 219/229.33; paired Δ med/mean +61/+61 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 62/57; C 118/101.67; paired Δ med/mean +50/+44.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 62/57; C 118/101.67; paired Δ med/mean +50/+44.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 62/57; C 118/101.67; paired Δ med/mean +50/+44.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 62/57; C 118/101.67; paired Δ med/mean +50/+44.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 36/32.33; C 52/49.67; paired Δ med/mean +17/+17.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 436/398.33; C 664/616.33; paired Δ med/mean +216/+218 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 436/398.33; C 664/616.33; paired Δ med/mean +216/+218 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 436/398.33; C 664/616.33; paired Δ med/mean +216/+218 (3 pairs)
  hypothesisCombineAttempts: B med/mean 57/49.33; C 110/89.33; paired Δ med/mean +39/+40 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 42/36.33; C 95/75.33; paired Δ med/mean +38/+39 (3 pairs)
  hypothesisCombineResponses: B med/mean 15/13; C 11/14; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 5/4.67; C 5/5.67; paired Δ med/mean +2/+1 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 48/48; C 45/47.33; paired Δ med/mean +13/-0.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 5/4; C 5/5.67; paired Δ med/mean +2/+1.67 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 52/44.67; C 103/83.67; paired Δ med/mean +43/+39 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 345/298.33; C 500/466.67; paired Δ med/mean +156/+168.33 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 37/32.33; C 90/69.67; paired Δ med/mean +40/+37.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 15/12.33; C 11/14; paired Δ med/mean +3/+1.67 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1.67; C 1/2.33; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 2/2.67; C 4/4.67; paired Δ med/mean +2/+2 (3 pairs)
  hypothesisExertAttempts: B med/mean 3/2.67; C 2/3.33; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 3/2.67; C 2/3; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 2/1.67; C 0/0.33; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 7/6.67; C 22/19.33; paired Δ med/mean +12/+12.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 5/5; C 8/9; paired Δ med/mean +3/+4 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/1.33; C 4/3.33; paired Δ med/mean 0/+2 (3 pairs)
  hypothesisExposeResponses: B med/mean 2/3.67; C 4/5.67; paired Δ med/mean +3/+2 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 21/18; C 39/31.67; paired Δ med/mean +12/+13.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 15/14; C 14/17.33; paired Δ med/mean +4/+3.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 45/40.33; C 102/81.67; paired Δ med/mean +45/+41.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 5/4; C 7/6.67; paired Δ med/mean +3/+2.67 (3 pairs)
  hypothesisResponses: B med/mean 17/16.67; C 15/20; paired Δ med/mean +5/+3.33 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 2/2.33; C 2/3.33; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 12/17.67; C 24/38.67; paired Δ med/mean +8/+21 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 2/2.33; C 2/3; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/4; C 0/0; paired Δ med/mean 0/-4 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 5/5; C 8/9; paired Δ med/mean +3/+4 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 19/30.33; C 42/63.67; paired Δ med/mean +35/+33.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/1.33; C 4/3.33; paired Δ med/mean 0/+2 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 2/3.67; C 4/5.67; paired Δ med/mean +3/+2 (3 pairs)
  hypothesisUniquePairs: B med/mean 38/34.67; C 57/55.33; paired Δ med/mean +19/+20.67 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 38/34.67; C 57/55.33; paired Δ med/mean +19/+20.67 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedActors: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedCampaigns: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedProjects: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisVerifiedResponses: B med/mean 12/11.33; C 12/13; paired Δ med/mean +1/+1.67 (3 pairs)
  incorrectPredictions: B med/mean 9/16.67; C 11/24.33; paired Δ med/mean +4/+7.67 (3 pairs)
  inquiryOpportunityBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityBasisProjects: B med/mean 81/78.67; C 52/61.67; paired Δ med/mean -29/-17 (3 pairs)
  inquiryOpportunityFailedProjects: B med/mean 9/11; C 50/42.67; paired Δ med/mean +38/+31.67 (3 pairs)
  inquiryOpportunityInheritedActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityInheritedFunctionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityInheritedStatusMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityMaterialOnlyCommitmentAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentFunctionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentInheritedStatusMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentProjectCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentProjects: B med/mean 2/3.67; C 11/9.67; paired Δ med/mean +3/+6 (3 pairs)
  inquiryOpportunityRenewalCommitmentSourceCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalFallbackBeforeCommitmentViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalFirstAttemptExactSourceCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalFirstCandidateExactSourceCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalHypothesisAttemptProjects: B med/mean 2/3; C 1/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  inquiryOpportunityRenewalHypothesisCandidateCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalHypothesisFirstAttemptCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
