Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-causal-local-capability-v7 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/9; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 1/1.67; C 0/0.33; paired Δ med/mean -1/-1.33 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0.01/0.08; C 0/0; paired Δ med/mean -0.01/-0.08 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 2/4.33; C 0/0.33; paired Δ med/mean -1/-4 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 407/411.33; C 322/449.67; paired Δ med/mean -115/+38.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 147/156.33; C 235/296; paired Δ med/mean +144/+139.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/2.67; C 0/0.33; paired Δ med/mean 0/-2.33 (3 pairs)
  completedActions: B med/mean 3210/2947.67; C 3443/3271.33; paired Δ med/mean +245/+323.67 (3 pairs)
  actionPersonMonths: B med/mean 1665/1615; C 1927/1783.33; paired Δ med/mean -16/+168.33 (3 pairs)
  projectActionPersonMonths: B med/mean 204/180.33; C 266/266; paired Δ med/mean +139/+85.67 (3 pairs)
  projectActionMonthShare: B med/mean 10.95/11.2; C 13.8/14.51; paired Δ med/mean +2.85/+3.31 (3 pairs)
  ruleDecisions: B med/mean 4009/3938.67; C 4636/4049.33; paired Δ med/mean +325/+110.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 24.56/25.2; C 30.26/29.11; paired Δ med/mean +1.82/+3.91 (3 pairs)
  strategicIntents: B med/mean 967/970.67; C 1436/1187.67; paired Δ med/mean +469/+217 (3 pairs)
  socialIntents: B med/mean 3022/2914.67; C 2804/2746; paired Δ med/mean -485/-168.67 (3 pairs)
  communications: B med/mean 991/1010.33; C 933/982; paired Δ med/mean -58/-28.33 (3 pairs)
  survivalReflexActions: B med/mean 1626/1468; C 1736/1895.33; paired Δ med/mean +152/+427.33 (3 pairs)
  projectsStarted: B med/mean 58/55.67; C 81/68.67; paired Δ med/mean +23/+13 (3 pairs)
  projectsCompleted: B med/mean 22/22.67; C 40/31.67; paired Δ med/mean +23/+9 (3 pairs)
  projectsBlocked: B med/mean 32/30.67; C 32/33.67; paired Δ med/mean 0/+3 (3 pairs)
  projectPressureBasisProjects: B med/mean 58/55.67; C 81/68.67; paired Δ med/mean +23/+13 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 1025/966; C 1323/1268.67; paired Δ med/mean +298/+302.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 48/50.33; C 72/63; paired Δ med/mean +24/+12.67 (3 pairs)
  projectPressureUpdates: B med/mean 967/910.33; C 1242/1200; paired Δ med/mean +275/+289.67 (3 pairs)
  projectPressureIncreases: B med/mean 153/149.67; C 142/175.67; paired Δ med/mean -11/+26 (3 pairs)
  projectPressureDecreases: B med/mean 178/193.33; C 205/226.33; paired Δ med/mean +27/+33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 600/567.33; C 895/798; paired Δ med/mean +259/+230.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 20/19.33; C 19/19.67; paired Δ med/mean -1/+0.33 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 11/17.67; C 8/9.67; paired Δ med/mean -3/-8 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 32/37.67; C 38/38.67; paired Δ med/mean -10/+1 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 1506/1383.67; C 1985/2028; paired Δ med/mean +1103/+644.33 (3 pairs)
  projectProgressProjects: B med/mean 56/52; C 77/64.67; paired Δ med/mean +24/+12.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 1200/1071.67; C 1349/1572.67; paired Δ med/mean +698/+501 (3 pairs)
  projectMaterialContributionProgress: B med/mean 306/312; C 550/455.33; paired Δ med/mean +244/+143.33 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 28/24; C 29/28; paired Δ med/mean +1/+4 (3 pairs)
  projectSearchCampaigns: B med/mean 15/16.33; C 20/19.67; paired Δ med/mean +5/+3.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 15/15.33; C 17/16.67; paired Δ med/mean +1/+1.33 (3 pairs)
  searchCampaignActive: B med/mean 1/0.67; C 2/1.67; paired Δ med/mean +1/+1 (3 pairs)
  searchCampaignExhausted: B med/mean 2/2.33; C 2/2.67; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/1; C 4/3; paired Δ med/mean +1/+2 (3 pairs)
  searchCampaignClosed: B med/mean 12/12.33; C 13/12.33; paired Δ med/mean -1/0 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 138/122.67; C 125/165; paired Δ med/mean +45/+42.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 57/61.67; C 72/63.67; paired Δ med/mean +15/+2 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 325/290.67; C 415/395.33; paired Δ med/mean +208/+104.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 317/283.67; C 406/386.33; paired Δ med/mean +203/+102.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 6/5.67; C 7/6; paired Δ med/mean +3/+0.33 (3 pairs)
  projectSearchEpisodes: B med/mean 138/122.67; C 125/165; paired Δ med/mean +45/+42.33 (3 pairs)
  projectDropEpisodes: B med/mean 136/137.67; C 225/191.67; paired Δ med/mean +89/+54 (3 pairs)
  projectLogisticsActionEvents: B med/mean 1359/1234.67; C 1642/1794; paired Δ med/mean +855/+559.33 (3 pairs)
  jointProjectsCompleted: B med/mean 1/0.67; C 2/2.67; paired Δ med/mean +1/+2 (3 pairs)
  productionProjectsCompleted: B med/mean 13/12.33; C 21/15; paired Δ med/mean +8/+2.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 9/10.33; C 18/16.67; paired Δ med/mean +9/+6.33 (3 pairs)
  totalStructures: B med/mean 12/13; C 20/19.67; paired Δ med/mean +9/+6.67 (3 pairs)
  completedStructures: B med/mean 2/1.67; C 2/2.33; paired Δ med/mean +1/+0.67 (3 pairs)
  constructionPlacements: B med/mean 19/22.33; C 25/30; paired Δ med/mean +6/+7.67 (3 pairs)
  containersBuilt: B med/mean 2/2.33; C 6/6.67; paired Δ med/mean +4/+4.33 (3 pairs)
  standingContainers: B med/mean 2/2.33; C 6/6.67; paired Δ med/mean +4/+4.33 (3 pairs)
  containerTransfers: B med/mean 4/3.67; C 29/22; paired Δ med/mean +25/+18.33 (3 pairs)
  storedUnits: B med/mean 4/3.67; C 27/19.33; paired Δ med/mean +22/+15.67 (3 pairs)
  movementActions: B med/mean 4307/3757.67; C 4453/4962.33; paired Δ med/mean +1691/+1204.67 (3 pairs)
  movementActionShare: B med/mean 52.18/48.54; C 56.44/55.93; paired Δ med/mean +8.01/+7.39 (3 pairs)
  spearsCrafted: B med/mean 6/6; C 2/3.33; paired Δ med/mean -1/-2.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 6/5; C 0/0.33; paired Δ med/mean -6/-4.67 (3 pairs)
  recordsCreated: B med/mean 2/2; C 2/1.33; paired Δ med/mean -2/-0.67 (3 pairs)
  functionalInstitutions: B med/mean 4/3.67; C 6/5.33; paired Δ med/mean +5/+1.67 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dehydrationHibernations: B med/mean 47/51.33; C 65/66; paired Δ med/mean +14/+14.67 (3 pairs)
  assistedDependentHibernations: B med/mean 14/13.33; C 11/12; paired Δ med/mean -5/-1.33 (3 pairs)
  throughMonth: B med/mean 360/360; C 360/360; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 147/149.67; C 256/215; paired Δ med/mean +109/+65.33 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 145/146; C 246/208.33; paired Δ med/mean +101/+62.33 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 136/137.67; C 225/191.67; paired Δ med/mean +89/+54 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 57/56.33; C 85/77.67; paired Δ med/mean +28/+21.33 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 57/56.33; C 85/77.67; paired Δ med/mean +28/+21.33 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 57/56.33; C 85/77.67; paired Δ med/mean +28/+21.33 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 57/56.33; C 85/77.67; paired Δ med/mean +28/+21.33 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 28/30; C 46/37.67; paired Δ med/mean +18/+7.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 354/367.33; C 587/479.33; paired Δ med/mean +237/+112 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 354/367.33; C 587/479.33; paired Δ med/mean +237/+112 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 354/367.33; C 587/479.33; paired Δ med/mean +237/+112 (3 pairs)
  hypothesisCombineAttempts: B med/mean 49/46.67; C 66/66; paired Δ med/mean +17/+19.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 34/34.67; C 44/48.67; paired Δ med/mean +10/+14 (3 pairs)
  hypothesisCombineResponses: B med/mean 12/12; C 22/17.33; paired Δ med/mean +7/+5.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 7/7; C 5/5; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 36/48; C 48/40.33; paired Δ med/mean -11/-7.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 7/6.67; C 4/3.67; paired Δ med/mean -3/-3 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 41/39.67; C 61/61; paired Δ med/mean +19/+21.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 249/236; C 390/342.33; paired Δ med/mean +141/+106.33 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 27/28; C 40/45; paired Δ med/mean +13/+17 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 12/11.67; C 21/16; paired Δ med/mean +6/+4.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 2/1.67; C 3/2.33; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 5/5.33; C 4/5.67; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 2/1.67; C 4/3.33; paired Δ med/mean +2/+1.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/0.67; C 2/2.67; paired Δ med/mean +2/+2 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1; C 0/0.67; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 4/4.67; C 9/8.33; paired Δ med/mean +4/+3.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 6/8; C 10/8.33; paired Δ med/mean +5/+0.33 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 2/2.33; C 3/3; paired Δ med/mean +3/+0.67 (3 pairs)
  hypothesisExposeResponses: B med/mean 5/5.67; C 7/5.33; paired Δ med/mean +2/-0.33 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 15/15.67; C 19/20.67; paired Δ med/mean +4/+5 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 13/13.67; C 19/16.67; paired Δ med/mean +9/+3 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 37/37.67; C 52/54.33; paired Δ med/mean +15/+16.67 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 8/8; C 7/8; paired Δ med/mean -1/0 (3 pairs)
  hypothesisResponses: B med/mean 20/18.67; C 31/23.33; paired Δ med/mean +13/+4.67 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 2/1.67; C 3/2.33; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 24/20; C 31/26.33; paired Δ med/mean +7/+6.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 1/0.67; C 2/2; paired Δ med/mean +1/+1.33 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 1/1; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 12/12; paired Δ med/mean +12/+12 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 6/8; C 10/8.33; paired Δ med/mean +5/+0.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 45/63.33; C 65/58.33; paired Δ med/mean +21/-5 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 2/2.33; C 3/3; paired Δ med/mean +3/+0.67 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 5/5.67; C 7/5.33; paired Δ med/mean +2/-0.33 (3 pairs)
  hypothesisUniquePairs: B med/mean 37/38; C 51/47; paired Δ med/mean +14/+9 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 37/38; C 51/47; paired Δ med/mean +14/+9 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedActors: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedCampaigns: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedProjects: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisVerifiedResponses: B med/mean 8/9.33; C 16/12.33; paired Δ med/mean +3/+3 (3 pairs)
  incorrectPredictions: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  inquiryOpportunityBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityBasisProjects: B med/mean 29/27; C 41/32.67; paired Δ med/mean +12/+5.67 (3 pairs)
  inquiryOpportunityFailedProjects: B med/mean 5/5.67; C 6/6.33; paired Δ med/mean +1/+0.67 (3 pairs)
  inquiryOpportunityInheritedActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityInheritedFunctionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityInheritedStatusMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityMaterialOnlyCommitmentAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentFunctionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentInheritedStatusMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentProjectCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalCommitmentProjects: B med/mean 0/0.67; C 1/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  inquiryOpportunityRenewalCommitmentSourceCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalFallbackBeforeCommitmentViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalFirstAttemptExactSourceCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalFirstCandidateExactSourceCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalHypothesisAttemptProjects: B med/mean 0/0.67; C 1/1; paired Δ med/mean +1/+0.33 (3 pairs)
  inquiryOpportunityRenewalHypothesisCandidateCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalHypothesisFirstAttemptCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalHypothesisProjects: B med/mean 0/0.67; C 1/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  inquiryOpportunityRenewalKeyMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunityRenewalKeys: B med/mean 0/1; C 2/4; paired Δ med/mean +2/+3 (3 pairs)
  inquiryOpportunityRenewalProjects: B med/mean 0/0.67; C 1/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  inquiryOpportunityReopenWithoutRenewalViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunitySourceBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  inquiryOpportunitySourceBasisProjects: B med/mean 29/27; C 41/32.67; paired Δ med/mean +12/+5.67 (3 pairs)
